Player,Team,POS,xG,xTC,xTP,PPAS,PCRY,PBX,PRCV,PASS,PC%,HDA,TKLA,TKL%,AERA,AER%
Thierno Barry,Villarreal,ATT,0.47,0.04,0.04,0.47,0.79,0.56,5.37,11.67,62.4,2.16,0.73,61.9,4.98,66.4
Maroan Sannadi,Athletic Club,ATT,0.37,0.04,0.04,0.75,1.11,0.87,7.32,17.37,72.5,3.37,1.09,40,3.37,41.9
Juan Berrocal,Getafe,DEF,0.05,0.04,0.04,1.98,0.33,0,0.35,28.2,76.1,0.22,1.33,77.8,3.48,66
Stanko Juric,Real Valladolid,MID,0.02,0.04,0.04,1.76,0.35,0,1.61,35.92,84.5,0.81,3.57,62.7,3.48,65.8
Domingos Duarte,Getafe,DEF,0.03,0.04,0.04,1.93,0.28,0,0.38,27.95,78.3,0.53,1.36,90.3,1.98,64.4
Pablo Ibáñez,Osasuna,MID,0.06,0.04,0.03,1.28,0.89,0.25,2.93,31.47,75.3,1.86,3.04,44.9,2.61,45.2
Sergio Camello,Rayo Vallecano,ATT,0.29,0.04,0.03,0.73,0.81,0.65,4.78,19.22,78.5,2.25,1.02,85.7,2.68,29.7
Juan Herzog,Las Palmas,DEF,0.04,0.04,0.04,2.1,0.31,0,0.97,38.94,86.5,0.06,1.09,61.1,4.36,61.1
Bertug Yildirim,Getafe,ATT,0.19,0.04,0.03,0.56,0.33,0.15,4.39,14.01,54,3.3,1.2,68.8,9.97,54.1
Anuar Tuhami,Real Valladolid,ATT,0.13,0.04,0.03,0.82,0.58,0.19,2.65,24.47,81.5,1.41,2.57,75.5,2.82,37.9
Toni Martínez,Deportivo Alaves,ATT,0.28,0.04,0.03,0.53,0.26,0.23,5.63,18.23,59.1,2.38,1,69.2,10.77,53.6
Oliver McBurnie,Las Palmas,ATT,0.26,0.03,0.03,0.65,0.27,0.31,5.27,18.04,65.9,2.01,0.96,68.2,7.78,48.9
Mauro Arambarri,Getafe,MID,0.21,0.03,0.03,1.08,0.35,0.09,2.12,24.65,73,2.24,2.33,69.7,3.37,52.7
Kike García,Deportivo Alaves,ATT,0.24,0.03,0.03,0.6,0.38,0.25,6.16,18.59,64.9,2.6,0.89,64.3,6.56,52.7
Borja Iglesias,Celta Vigo,ATT,0.5,0.03,0.03,0.66,0.43,0.38,5.11,21.05,70.2,2.22,0.77,50,1.75,31.7
Darko Brasanac,Leganes,ATT,0.1,0.03,0.03,1.1,0.26,0,2.45,24.86,75.5,1.4,1.7,76.5,2.9,34.5
Unai Gómez,Athletic Club,ATT,0.14,0.03,0.03,0.65,0.56,0,3,19.18,73.3,1.2,0.95,80,3.8,48.3
Abel Ruiz,Girona,ATT,0.18,0.03,0.03,0.53,0.67,0.49,4.4,16.67,88.2,0.86,0.56,66.7,1.6,34.6
Jaime Mata,Las Palmas,ATT,0.26,0.03,0.03,0.66,0.24,0.11,5.02,19.89,67.9,2.34,1.28,50,5.85,49.1
Gorka Guruzeta,Athletic Club,ATT,0.3,0.03,0.03,0.6,0.27,0.04,4.18,18.63,72.8,2.73,1.7,39.5,4.7,36.2
Miguel de la Fuente,Leganes,ATT,0.19,0.03,0.02,0.39,0.52,0.33,4.65,11.31,58.8,2.31,1.23,61.5,5.94,23.8
Cristhian Stuani,Girona,ATT,0.47,0.03,0.03,0.3,0.06,0.07,3.23,11.36,69.9,2.26,0.8,72.7,2.69,56.8
Tamás Nikitscher,Real Valladolid,MID,0,0.03,0.03,1.15,0.4,0,1.34,29.56,91,0.76,2.09,77.3,2.28,62.5
Tasos Douvikas,Celta Vigo,ATT,0.44,0.02,0.01,0.29,0.6,0.55,4.71,11.8,70.1,2.21,1.43,69.2,4.08,43.2
Umar Sadiq,Valencia,ATT,0.37,0.02,0.02,0.41,0.67,0.2,6.18,16.87,71.7,3.22,1.17,83.3,3.9,52.5
Alexander Sørloth,Atletico,ATT,0.9,0.02,0.02,0.57,0.93,0.78,6.96,18.57,63.3,1.87,0.57,81.8,7.44,65.7
Robert Lewandowski,Barcelona,ATT,0.75,0.02,0.02,0.48,0.37,0.37,5.01,16.3,73.2,1.94,0.47,60,2.31,46
Borja Mayoral,Getafe,ATT,0.21,0.02,0.02,0.6,0.43,0.57,3.55,18.09,78.8,1.56,0.78,45.5,3.97,30.4
Diego García,Leganes,ATT,0.29,0.02,0.01,0.41,0.32,0.27,4.89,12.95,63.4,1.6,0.47,14.3,8.21,35.8
Mamadou Sylla,Real Valladolid,ATT,0.1,0.02,0.02,0.4,0.41,0.31,3.72,14.36,62.7,1.54,0.77,60,5.04,42.9
Roberto Fernández,Espanyol,ATT,0.23,0.02,0.02,0.42,0.32,0.17,4.67,14.67,72.8,1.41,0.45,50,5,37.1
Hugo Duro,Valencia,ATT,0.33,0.02,0.02,0.37,0.18,0.11,4.54,16.19,69.9,2.38,0.79,66.7,6.2,36.6
Juanmi Latasa,Real Valladolid,ATT,0.27,0.02,0.02,0.39,0.13,0.05,4.78,14.29,59.6,1.98,0.44,50,7.75,58.9
Marcos André,Real Valladolid,ATT,0.25,0.02,0.02,0.48,0.31,0.14,4.15,14.28,66.2,2.21,1.17,58.8,6.21,50
Raúl García,Osasuna,ATT,0.28,0.02,0.02,0.4,0.62,0.29,4.83,16.41,69.2,2.23,1.75,72.2,4.08,47.6
Orri Óskarsson,Real Sociedad,ATT,0.49,0.02,0.01,0.36,0.29,0.26,4.29,16.69,52.6,1.55,0.77,66.7,7.14,33.7
Bojan Miovski,Girona,ATT,0.23,0.02,0,0.24,0.11,0.1,3.72,10.78,75.9,1.93,1.16,58.3,3.37,37.1
Ante Budimir,Osasuna,ATT,0.4,0.01,0.01,0.28,0.39,0.23,4.7,11.93,56.4,1.89,0.87,67.7,7.26,50.8
Randy Nteka,Rayo Vallecano,ATT,0.22,0.01,0.01,0.34,0.28,0.36,4.35,15.97,64.5,3.41,1.52,76.2,6.75,44.1
Cyle Larin,Mallorca,ATT,0.29,0.01,0.01,0.37,0.42,0.33,6.27,14.98,67.8,2.03,0.85,66.7,6.99,41.9
Alejo Véliz,Espanyol,ATT,0.13,0.01,0.01,0.21,0.08,0,4.34,12.76,66.7,1.39,0.63,22.2,7.46,48.6
